annoaccademico,immatricolabile,corso_codice,corso_descrizione,url,campus,sededidattica,ambiti,tipologia,durata,internazionale,internazionale_titolo,internazionale_lingua,lingue,accesso
2023/2024,False,0881,Architettura,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/0881,Cesena,Cesena,Ingegneria e architettura,Laurea Magistrale a ciclo unico,5,False,,,it,numero chiuso
2023/2024,True,0884,Chimica industriale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/0884,Bologna,Bologna,Scienze,Laurea Magistrale,2,False,,,it,libero
2023/2024,True,0897,Direzione aziendale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/0897,Bologna,Bologna,Economia e management,Laurea Magistrale,2,False,,,it,numero chiuso
2023/2024,False,0900,Economia e professione,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/0900,Bologna,Bologna,Economia e management,Laurea Magistrale,2,False,,,it,numero chiuso
2023/2024,True,0901,"Finanza, intermediari e mercati",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/0901,Bologna,Bologna,Economia e management,Laurea Magistrale,2,False,,,it,numero chiuso
2023/2024,True,0902,Innovation and Organization of Culture and the Arts,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/0902,Bologna,Bologna,Economia e management,Laurea Magistrale,2,True,,Erogato in lingua straniera,en,numero chiuso
2023/2024,True,0905,Economia e commercio,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/0905,Forlì,Forlì,Economia e management,Laurea Magistrale,2,True,Titolo multiplo,,it,libero
2023/2024,True,0924,Ingegneria energetica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/0924,Bologna,Bologna,Ingegneria e architettura,Laurea,3,False,,,it,numero chiuso
2023/2024,True,0925,Ingegneria gestionale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/0925,Bologna,Bologna,Ingegneria e architettura,Laurea,3,False,,,it,numero chiuso
2023/2024,True,0927,Ingegneria meccanica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/0927,Bologna,Bologna,Ingegneria e architettura,Laurea,3,False,,,it,numero chiuso
2023/2024,True,0930,Ingegneria civile,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/0930,Bologna,Bologna,Ingegneria e architettura,Laurea Magistrale,2,False,,,it,libero
2023/2024,True,0934,Ingegneria elettronica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/0934,Bologna,Bologna,Ingegneria e architettura,Laurea Magistrale,2,True,,Erogato in lingua straniera (solo alcuni curricula),it en,libero
2023/2024,False,0935,Ingegneria energetica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/0935,Bologna,Bologna,Ingegneria e architettura,Laurea Magistrale,2,False,,,it,libero
2023/2024,True,0936,Ingegneria gestionale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/0936,Bologna,Bologna,Ingegneria e architettura,Laurea Magistrale,2,False,,,it,libero
2023/2024,False,0940,Ingegneria edile - architettura,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/0940,Bologna,Bologna,Ingegneria e architettura,Laurea Magistrale a ciclo unico,5,False,,,it,numero chiuso
2023/2024,True,0949,Ingegneria meccanica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/0949,Forlì,Forlì,Ingegneria e architettura,Laurea,3,False,,,it,numero chiuso
2023/2024,True,0962,Storia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/0962,Bologna,Bologna,Studi umanistici,Laurea,3,True,Titolo multiplo,,it,libero
2023/2024,True,0964,Antropologia culturale ed etnologia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/0964,Bologna,Bologna,Studi umanistici,Laurea Magistrale,2,False,,,it,libero
2023/2024,True,0971,Geografia e processi territoriali,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/0971,Bologna,Bologna,Studi umanistici,Laurea Magistrale,2,False,,,it,libero
2023/2024,True,0979,Lingue e letterature straniere,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/0979,Bologna,Bologna,"Lingue e Letterature, Traduzione e Interpretazione",Laurea,3,False,,,it,numero chiuso
2023/2024,True,0981,"Letterature moderne, comparate e postcoloniali",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/0981,Bologna,Bologna,"Lingue e Letterature, Traduzione e Interpretazione",Laurea Magistrale,2,True,Titolo multiplo (solo alcuni curricula),,it,libero
2023/2024,True,0983,Lingua e cultura italiane per stranieri,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/0983,Bologna,Bologna,"Lingue e Letterature, Traduzione e Interpretazione",Laurea Magistrale,2,False,,,it,libero
2023/2024,False,0989,Neuroscienze e riabilitazione neuropsicologica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/0989,Cesena,Cesena,Psicologia,Laurea Magistrale,2,False,,,it,libero
2023/2024,False,0990,Psicologia clinica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/0990,Cesena,Cesena,Psicologia,Laurea Magistrale,2,True,Titolo multiplo,,it,numero chiuso
2023/2024,False,0991,Psicologia cognitiva applicata,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/0991,Bologna,Bologna,Psicologia,Laurea Magistrale,2,False,,,it,libero
2023/2024,False,0993,Psicologia scolastica e di comunità,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/0993,Cesena,Cesena,Psicologia,Laurea Magistrale,2,True,Titolo multiplo,,it,libero
2023/2024,True,5695,Architettura-ingegneria,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5695,Bologna,Bologna,Ingegneria e architettura,Laurea,3,False,,,it,numero programmato nazionale con prova locale
2023/2024,False,5696,"Società e culture del Mediterraneo: istituzioni, sicurezza, ambiente",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5696,Ravenna,Ravenna,Studi umanistici,Laurea,3,False,,,it,libero
2023/2024,True,5697,Ingegneria edile-architettura,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5697,Bologna,Bologna,Ingegneria e architettura,Laurea Magistrale,2,True,,Erogato in lingua straniera (solo alcuni curricula),it en,numero chiuso
2023/2024,True,5698,"Informazione, culture e organizzazione dei media",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5698,Bologna,Bologna,Studi umanistici,Laurea Magistrale,2,False,,,it,libero
2023/2024,True,5699,Electric Vehicle Engineering,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5699,Bologna,Bologna,Ingegneria e architettura,Laurea Magistrale,2,True,Titolo congiunto,Erogato in lingua straniera,en,numero chiuso
2023/2024,False,5700,Psychology of Wellbeing and Social Inclusivity,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5700,Bologna,Bologna,Psicologia,Laurea Magistrale,2,True,,Erogato in lingua straniera,en,libero
2023/2024,True,5701,Chemical Innovation and Regulation,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5701,Bologna,Bologna,Scienze,Laurea Magistrale,2,True,Titolo congiunto,Erogato in lingua straniera,en,numero chiuso
2023/2024,True,5702,International Politics and Economics,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5702,Forlì,Forlì,"Scienze politiche, Economia e management",Laurea Magistrale,2,True,,Erogato in lingua straniera,en,numero chiuso
2023/2024,True,5703,"Comunicazione giornalistica, pubblica e d'impresa",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5703,Bologna,Bologna,Scienze politiche,Laurea Magistrale,2,False,,,it,numero chiuso
2023/2024,True,5704,Didattica e comunicazione delle scienze naturali,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5704,Bologna,Bologna,Scienze,Laurea Magistrale,2,False,,,it,libero
2023/2024,True,5705,Precise and Sustainable Agriculture,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5705,Bologna,Bologna,Scienze agro-alimentari,Laurea Magistrale,2,True,,Erogato in lingua straniera,en,libero
2023/2024,True,5706,Advanced Spectroscopy in Chemistry,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5706,Bologna,Bologna,Scienze,Laurea Magistrale,2,True,Titolo congiunto,Erogato in lingua straniera,en,numero chiuso
2023/2024,False,5708,Medicina e chirurgia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5708,Ravenna,Ravenna,Medicina e Chirurgia,Laurea Magistrale a ciclo unico,6,False,,,it,numero programmato nazionale
2023/2024,False,5709,Medicina e chirurgia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5709,Forlì,Forlì,Medicina e Chirurgia,Laurea Magistrale a ciclo unico,6,False,,,it,numero programmato nazionale
2023/2024,True,5710,Scienze dello spettacolo e della produzione audiovisiva,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5710,,"Lecce, Bologna",Studi umanistici,Laurea Magistrale,2,False,Titolo congiunto,,it,libero
2023/2024,True,5711,Scienze della formazione primaria,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5711,Bologna,Bologna,Scienze dell’educazione e della formazione,Laurea Magistrale a ciclo unico,5,False,,,it,numero programmato nazionale con prova locale
2023/2024,True,5723,Aerospace Engineering,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5723,Forlì,Forlì,Ingegneria e architettura,Laurea Magistrale,2,True,Titolo multiplo,Erogato in lingua straniera,en,numero chiuso
2023/2024,True,5724,Ingegneria meccanica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5724,Bologna,Bologna,Ingegneria e architettura,Laurea Magistrale,2,True,Titolo multiplo,,it,libero
2023/2024,True,5726,Educatore sociale e culturale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5726,Bologna,Bologna,Scienze dell’educazione e della formazione,Laurea,3,False,,,it,numero chiuso
2023/2024,True,5727,Educatore sociale e culturale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5727,Rimini,Rimini,Scienze dell’educazione e della formazione,Laurea,3,False,,,it,numero chiuso
2023/2024,True,5728,Sicurezza e qualità delle produzioni animali,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5728,Bologna,Ozzano dell'Emilia,Medicina veterinaria,Laurea Magistrale,2,False,,,it,libero
2023/2024,True,5729,Biologia della salute,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5729,Bologna,Imola,Farmacia e biotecnologie,Laurea Magistrale,2,False,,,it,numero chiuso
2023/2024,True,5808,Scienze e cultura della gastronomia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5808,Cesena,Cesena,Scienze agro-alimentari,Laurea,3,False,,,it,libero
2023/2024,True,5809,Architecture and Creative Practices for the City and Landscape,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5809,Bologna,Bologna,Ingegneria e architettura,Laurea Magistrale,2,True,,Erogato in lingua straniera,en,numero chiuso
2023/2024,True,5810,Advanced Methods in Particle Physics,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5810,Bologna,"Bologna, Dortmund, Clermont-Ferrand",Scienze,Laurea Magistrale,2,True,Titolo congiunto,Erogato in lingua straniera,en,libero
2023/2024,True,5811,"Law, Economics and Governance",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5811,Bologna,Bologna,Economia e management,Laurea Magistrale,2,True,,Erogato in lingua straniera,en,libero
2023/2024,True,5812,"Nutrizione umana, benessere e salute",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5812,Rimini,Rimini,Scienze motorie,Laurea Magistrale,2,False,,,it,numero chiuso
2023/2024,True,5813,"Wellness, Sport and Health",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5813,Rimini,Rimini,Scienze motorie,Laurea Magistrale,2,True,,Erogato in lingua straniera,en,libero
2023/2024,True,5814,Food Animal Metabolism and Management in the Circular Economy,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5814,Bologna,Ozzano dell'Emilia,Medicina veterinaria,Laurea Magistrale,2,True,,Erogato in lingua straniera,en,libero
2023/2024,True,5815,Digital Transformation Management,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5815,Cesena,"Cesena, Forlì","Ingegneria e architettura, Scienze, Economia e management",Laurea Magistrale,2,True,,Erogato in lingua straniera,en,numero chiuso
2023/2024,False,5816,Tecnologie dei sistemi informatici,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5816,Cesena,"Cesena, Imola",Ingegneria e architettura,Laurea,3,False,,,it,numero chiuso
2023/2024,False,5817,Tecniche per l'edilizia e il territorio,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5817,Bologna,Bologna,Ingegneria e architettura,Laurea,3,False,,,it,numero chiuso
2023/2024,False,5818,Meccatronica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5818,Bologna,"Bologna, Imola, Lugo",Ingegneria e architettura,Laurea,3,False,,,it,numero chiuso
2023/2024,True,5819,"Economics, Politics and Social Sciences",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5819,Bologna,Bologna,"Economia e management, Scienze politiche",Laurea,3,True,,Erogato in lingua straniera,en,numero chiuso
2023/2024,True,5821,"Dams - discipline delle arti, della musica e dello spettacolo",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5821,Bologna,Bologna,Studi umanistici,Laurea,3,False,,,it,numero chiuso
2023/2024,True,5822,Ingegneria dell'energia elettrica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5822,Bologna,Bologna,Ingegneria e architettura,Laurea,3,False,,,it,libero
2023/2024,True,5823,Scienze naturali,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5823,Bologna,Bologna,Scienze,Laurea,3,False,,,it,numero chiuso
2023/2024,True,5824,Biodiversità ed evoluzione,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5824,Bologna,Bologna,Scienze,Laurea Magistrale,2,False,,,it,libero
2023/2024,True,5825,Molecular and Cell  Biology,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5825,Bologna,Bologna,Farmacia e biotecnologie,Laurea Magistrale,2,True,,Erogato in lingua straniera,en,libero
2023/2024,True,5826,Ingegneria informatica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5826,Bologna,Bologna,Ingegneria e architettura,Laurea Magistrale,2,False,,,it,libero
2023/2024,True,5827,Matematica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5827,Bologna,Bologna,Scienze,Laurea Magistrale,2,True,,Erogato in lingua straniera (solo alcuni curricula),it en,libero
2023/2024,True,5828,Astrophysics and Cosmology,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5828,Bologna,Bologna,Scienze,Laurea Magistrale,2,True,,Erogato in lingua straniera,en,libero
2023/2024,False,5829,"Work, Organizational and Personnel Psychology",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5829,Cesena,Cesena,Psicologia,Laurea Magistrale,2,True,Titolo multiplo (solo alcuni curricula),Erogato in lingua straniera,en,libero
2023/2024,True,5830,Scienze e tecnologie per il verde e il paesaggio,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5830,Bologna,Imola,Scienze agro-alimentari,Laurea,3,False,,,it,libero
2023/2024,True,5831,Tecnologie per il territorio e l'ambiente agro-forestale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5831,Bologna,Bologna,Scienze agro-alimentari,Laurea,3,False,,,it,libero
2023/2024,True,5832,Tecnologie agrarie,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5832,Bologna,Bologna,Scienze agro-alimentari,Laurea,3,False,,,it,libero
2023/2024,True,5833,Economia e marketing nel sistema agro-industriale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5833,Bologna,Bologna,Scienze agro-alimentari,Laurea,3,False,,,it,libero
2023/2024,True,5834,Ingegneria elettronica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5834,Cesena,Cesena,Ingegneria e architettura,Laurea,3,False,,,it,libero
2023/2024,False,5881,Metodologie chimiche per prodotti e processi,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5881,Bologna,Bologna,Scienze,Laurea,3,False,,,it,numero chiuso
2023/2024,True,5885,Greening Energy Market and Finance,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5885,Bologna,Bologna,Scienze Statistiche,Laurea Magistrale,2,True,Titolo multiplo,Erogato in lingua straniera,en,libero
2023/2024,True,5889,Governance e politiche dell'innovazione digitale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5889,Bologna,Bologna,"Scienze politiche, Ingegneria e architettura, Scienze",Laurea Magistrale,2,False,,,it,numero chiuso
2023/2024,True,5890,Religioni Storie Culture,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5890,Bologna,Bologna,Studi umanistici,Laurea Magistrale,2,False,Titolo congiunto,,it,libero
2023/2024,True,5891,International Management,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5891,Bologna,Bologna,Economia e management,Laurea Magistrale,2,True,,Erogato in lingua straniera,en,numero chiuso
2023/2024,True,5892,Management and Economics,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5892,Forlì,Forlì,Economia e management,Laurea,3,True,,Erogato in lingua straniera,en,numero chiuso
2023/2024,True,5895,Science of Climate,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5895,Bologna,Bologna,Scienze,Laurea Magistrale,2,True,,Erogato in lingua straniera,en,libero
2023/2024,True,5897,Building Construction Engineering,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5897,Ravenna,Ravenna,Ingegneria e architettura,Laurea,3,True,,Erogato in lingua straniera,en,libero
2023/2024,True,5898,Informatica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5898,Bologna,Bologna,Scienze,Laurea Magistrale,2,True,Titolo multiplo (solo alcuni curricula),,it,libero
2023/2024,True,5899,"Cinema, televisione e produzione multimediale",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5899,Bologna,Bologna,Studi umanistici,Laurea Magistrale,2,False,,,it,libero
2023/2024,True,5900,Analisi e gestione dell'ambiente,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5900,Ravenna,Ravenna,Scienze,Laurea Magistrale,2,True,,Erogato in lingua straniera (solo alcuni curricula),it en,libero
2023/2024,True,5901,"Statistica, finanza e assicurazioni",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5901,Rimini,Rimini,Scienze Statistiche,Laurea,3,False,,,it,numero chiuso
2023/2024,True,5902,Health Economics and Management,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5902,Bologna,Bologna,Economia e management,Laurea Magistrale,2,True,Titolo congiunto,Erogato in lingua straniera,en,libero
2023/2024,True,5903,Giurisprudenza,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5903,Ravenna,Ravenna,Giurisprudenza,Laurea Magistrale a ciclo unico,5,True,Titolo multiplo,,it,libero
2023/2024,True,5904,Medicina e chirurgia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5904,Bologna,Bologna,Medicina e Chirurgia,Laurea Magistrale a ciclo unico,6,False,,,it,numero programmato nazionale
2023/2024,True,5905,Medicina e chirurgia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5905,Forlì,Forlì,Medicina e Chirurgia,Laurea Magistrale a ciclo unico,6,False,,,it,numero programmato nazionale
2023/2024,True,5906,Medicina e chirurgia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5906,Ravenna,Ravenna,Medicina e Chirurgia,Laurea Magistrale a ciclo unico,6,False,,,it,numero programmato nazionale
2023/2024,True,5907,Infermieristica (abilitante alla professione sanitaria di infermiere),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5907,Bologna,Bologna,Medicina e Chirurgia,Laurea,3,False,,,it,numero programmato nazionale con prova locale
2023/2024,True,5908,Infermieristica (abilitante alla professione sanitaria di infermiere),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5908,Ravenna,Faenza,Medicina e Chirurgia,Laurea,3,False,,,it,numero programmato nazionale con prova locale
2023/2024,True,5909,Biology of Human and Environmental Health,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5909,,"Padova, Bologna",Scienze,Laurea,3,True,Titolo congiunto,Erogato in lingua straniera,en,numero chiuso
2023/2024,True,5910,Tourism Economics and Management,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5910,Rimini,Rimini,Economia e management,Laurea Magistrale,2,True,,Erogato in lingua straniera,en,libero
2023/2024,True,5911,East European and Eurasian Studies,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5911,Forlì,Forlì,Scienze politiche,Laurea Magistrale,2,True,Titolo congiunto,Erogato in lingua straniera,en,numero chiuso
2023/2024,True,5912,Sviluppo locale e globale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5912,Bologna,Bologna,Scienze politiche,Laurea Magistrale,2,False,,,it,numero chiuso
2023/2024,True,5913,Economia e diritto,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5913,Bologna,Bologna,Economia e management,Laurea Magistrale,2,True,,Erogato in lingua straniera (solo alcuni curricula),it en,numero chiuso
2023/2024,True,5915,Tecniche ortopediche (abilitante alla professione sanitaria di tecnico ortopedico),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/5915,Bologna,Bologna,Medicina e Chirurgia,Laurea,3,False,,,it,numero programmato nazionale con prova locale
